state,district,total_habitations,multihazard_risk_score,vulnerability_score,prob_flood,prob_landslide,prob_wildfire,carrying_capacity_persons
Andhra Pradesh,East Godavari,541,0.69,42.52658040665435,0.005241761732747171,0.004929286453533493,0.01423316269787805,1205312
Arunachal Pradesh,Lower Subansiri,467,11.7,42.51522483940043,0.060439050820313214,0.2531813989107769,0.005881868762633722,29116
Assam,Dhemaji,446,12.53,42.682242152466365,0.06544409119102383,0.2704246169362459,0.0060548743134227695,15974
Assam,Morigaon,456,12.58,42.369232456140345,0.07990778731305535,0.2533089350894496,0.005808676197220684,21347
Bihar,Katihar,590,7.49,44.55793220338983,0.15047611039908362,0.00524837031861231,0.026508853416319127,961718
Bihar,Supaul,613,7.0,44.350962479608484,0.13913311525208577,0.00568359551035682,0.02690451138176788,999176
Chhattisgarh,Bastar,565,3.08,42.69171681415929,0.01870569488532882,0.00819942102313085,0.09777361668874338,570545
Gujarat,Kutch,475,0.83,42.6605052631579,0.0014661675638771032,0.0028072970779443544,0.03314878843784555,1010393
Himachal Pradesh,Kullu,468,14.65,42.54205128205128,3.0944998359915085e-06,0.3827197812059979,0.06254406251701708,1105
Himachal Pradesh,Mandi,450,14.86,41.482755555555556,5.8764403823285644e-06,0.3859164658794401,0.06778582450607469,7942
Jammu & Kashmir,Doda,453,15.45,41.773024282560705,2.9082133411127317e-05,0.401631640202213,0.06942921145848686,8087
Karnataka,Kodagu,452,14.78,42.54681415929203,0.09083781382097246,0.2697367911874741,0.062464433366176825,6705
Karnataka,Uttara Kannada,451,14.71,41.708226164079825,0.08065795044925171,0.2782064531824949,0.06709147374171306,8455
Kerala,Idukki,424,14.04,42.68389150943396,0.08633394210693142,0.25664449500849806,0.05885411846426039,15952
Kerala,Wayanad,465,15.27,42.660752688172046,0.09732684407882099,0.27597433805780097,0.0614462931824168,18714
Madhya Pradesh,Balaghat,524,3.04,42.15288167938932,0.014950388073728062,0.009845210741375534,0.10103466481192083,575961
Maharashtra,Raigad,460,14.98,43.04547826086957,0.09094488567785143,0.274837978782418,0.06323849138685803,13151
Meghalaya,East Khasi Hills,444,11.67,42.292927927927934,0.05997496194469959,0.2523708800847434,0.006839832885067936,18274
Odisha,Koraput,547,2.96,42.59107861060329,0.01700445253163178,0.008054090560974203,0.09577142828041524,632799
Odisha,Mayurbhanj,532,2.93,42.3421052631579,0.014229524268764258,0.008679532890377862,0.09948356791440738,566325
Rajasthan,Barmer,504,0.83,42.235456349206345,0.0015806492555909095,0.0030111734972781226,0.03270107216398131,1096683
Rajasthan,Jaisalmer,491,0.84,42.03095723014257,0.0014825510282974919,0.0029041258003709163,0.03341020673148678,1072758
Sikkim,North Sikkim,465,11.82,41.99503225806451,0.06175794087109114,0.25465797333617046,0.006245730576272424,32724
Tamil Nadu,Nilgiris,484,0.7,42.47654958677686,0.005600473325311928,0.004456453375367104,0.014657165750352119,996234
Telangana,Khammam,498,0.68,42.67455823293173,0.0044843655062223806,0.005421457557400587,0.01422557721387675,1056440
Uttar Pradesh,Ballia,586,7.31,44.09931740614335,0.14668121283242344,0.00545397298896436,0.025963984950753808,1007627
Uttar Pradesh,Gorakhpur,575,7.66,44.50217391304348,0.1544036237510087,0.005223977984872552,0.026467212946690976,940438
Uttarakhand,Chamoli,457,15.07,42.7098249452954,8.403874006240003e-06,0.38974281368123487,0.07140890047205167,7956
Uttarakhand,Rudraprayag,450,14.96,42.20055555555555,7.974481658692186e-06,0.38535822198869135,0.07337354355676191,1807
West Bengal,Murshidabad,667,7.76,44.69514242878561,0.15676700006521663,0.005368453497646127,0.026092803992933154,1112142
