Latitude,Longitude,Rainfall (mm),Temperature (°C),Humidity (%),River Discharge (m³/s),Water Level (m),Elevation (m),Land Cover,Soil Type,Population Density,Infrastructure,Historical Floods,Flood Occurred
11.03205,76.00178,109.01,24.9,76.7,3016.0,9.27,158.1,Urban,Loam,1054.4,1,7,1
25.23638,81.96724,63.23,21.2,55.4,5240.6,12.84,57.4,Agricultural,Clay,5690.4,1,1,1
11.46143,76.31344,136.85,27.7,87.5,4545.3,14.18,173.4,Agricultural,Alluvial,3078.4,0,3,1
14.68226,77.25517,21.73,29.9,24.1,354.1,1.59,540.6,Wetland,Loam,11298.2,1,3,0
17.52335,76.20625,37.23,30.2,72.7,595.0,2.5,786.4,Forest,Alluvial,3836.8,0,0,0
27.70286,71.29486,20.28,33.6,58.3,148.9,0.73,151.1,Water Body,Loam,4238.4,0,1,0
18.02939,76.3965,16.48,30.5,44.8,512.7,2.16,546.2,Urban,Alluvial,869.0,1,0,0
28.24086,77.43641,49.73,28.0,61.7,4106.9,9.46,205.7,Urban,Alluvial,3761.1,0,6,1
25.36923,72.32614,6.46,27.5,51.3,147.4,0.2,193.7,Water Body,Alluvial,7913.2,0,2,0
28.20904,77.31075,17.58,27.5,36.5,2498.1,5.91,210.9,Agricultural,Loam,4618.1,1,7,0
10.34367,76.13097,4.51,29.3,71.1,1894.3,4.18,64.1,Urban,Clay,11833.5,0,3,0
15.75948,76.76618,20.01,31.6,73.3,381.0,0.98,578.7,Urban,Clay,8259.7,0,2,0
28.65327,76.89618,35.48,34.6,53.2,3623.6,9.13,237.0,Urban,Clay,8471.1,0,1,1
26.80823,71.54332,40.37,33.5,56.0,188.0,1.04,349.3,Forest,Silt,10333.4,0,6,0
19.94304,84.88791,88.59,29.8,56.4,6874.4,17.76,77.9,Urban,Loam,3152.1,0,4,1
19.00088,76.57555,1.97,22.8,31.4,495.7,0.87,648.9,Forest,Loam,6230.6,1,2,0
16.72943,80.84782,95.12,21.0,70.4,5285.8,14.15,111.5,Wetland,Alluvial,6812.1,1,8,1
20.30056,85.42423,36.21,30.0,37.7,4497.3,10.51,74.6,Agricultural,Alluvial,7534.1,1,0,1
25.57412,87.28936,104.9,20.9,82.3,6312.3,15.71,42.3,Forest,Alluvial,460.1,1,1,1
