elevation_m,slope_deg,curvature,annual_rainfall_mm,monsoon_rainfall_mm,max_daily_rainfall_mm,rainfall_flash_ratio,dist_to_river_km,river_density_km_sqkm,dist_to_road_km,topographic_wetness_index,ndvi,lulc_Agricultural,lulc_Barren,lulc_Barren_Rocky,lulc_Barren_Sandy,lulc_Dense_Forest,lulc_Grassland,lulc_Open_Forest,lulc_Plantation,lulc_Scrubland,lulc_Settlement,lulc_Water_Body,lulc_Wetland,flood_label,state,district
81.1,4.07,0.32,1327.9,1158.5,217.5,0.18758085381630013,2.04,2.3,3.53,3.5183687340739502,0.542,True,False,False,False,False,False,False,False,False,False,False,False,0,West Bengal,Murshidabad
246.3,3.11,0.493,443.7,341.3,49.8,0.1454864154250657,6.12,1.01,0.07,3.016981481739,0.138,False,False,False,True,False,False,False,False,False,False,False,False,0,Rajasthan,Barmer
392.0,0.1,0.215,1653.5,1214.9,233.6,0.19212106258738382,11.2,0.55,1.59,5.920028126550281,0.727,False,False,False,False,True,False,False,False,False,False,False,False,0,Odisha,Koraput
80.0,4.3,-0.898,2988.2,2276.1,254.1,0.11158930218260067,2.24,0.44,3.15,1.9715458729099733,0.488,False,False,False,False,False,False,False,True,False,False,False,False,1,Kerala,Wayanad
865.7,19.4,-1.621,2582.5,2025.7,236.3,0.11659347708096907,5.6,2.43,0.41,1.9719014859174901,0.146,False,False,False,False,False,False,False,False,True,False,False,False,0,Assam,Morigaon
686.5,11.77,-1.388,3704.4,3259.6,550.0,0.1686806109305036,3.16,2.27,10.81,2.4313563155999804,0.283,False,False,False,False,False,False,False,False,True,False,False,False,1,Assam,Dhemaji
1311.8,55.22,-0.291,846.8,745.0,109.9,0.14731903485254694,13.09,0.51,5.11,-0.8588586482530789,0.85,False,False,False,False,True,False,False,False,False,False,False,False,0,Uttarakhand,Rudraprayag
553.5,11.61,-0.386,677.4,504.5,67.1,0.1327398615232443,8.1,0.04,2.58,-0.38357202172910837,0.24,False,False,False,False,False,False,False,False,True,False,False,False,0,Tamil Nadu,Nilgiris
1099.9,14.32,-0.922,2239.0,1903.8,322.6,0.16936161276774467,1.38,1.75,12.25,1.9806246631374107,0.683,False,False,False,False,True,False,False,False,False,False,False,False,0,Karnataka,Uttara Kannada
324.7,9.28,1.034,1467.1,1095.9,210.3,0.19172212599143038,2.53,0.61,0.77,1.4690767979775181,0.804,False,False,False,False,False,False,False,False,False,True,False,False,0,Madhya Pradesh,Balaghat
2967.0,17.88,-1.031,836.5,698.9,92.6,0.13230461494499213,5.32,1.29,1.54,1.46062800185328,0.85,False,False,True,False,False,False,False,False,False,False,False,False,0,Uttarakhand,Chamoli
