site_id,latitude,longitude,state,district,eco_region,elevation_m,slope_deg,aspect_deg,curvature,annual_rainfall_mm,monsoon_rainfall_mm,max_daily_rainfall_mm,mean_temperature_c,dist_to_river_km,river_density_km_sqkm,dist_to_road_km,road_density_km_sqkm,ndvi,lulc,pop_density_per_sqkm,housing_quality_score,infrastructure_access,flood_label,landslide_label,wildfire_label,spatial_block_id
IND_S000001,25.99901,85.84084,West Bengal,Murshidabad,Indo_Gangetic_Plain,81.1,4.07,196.9,0.32,1327.9,1158.5,217.5,28.6,2.04,2.3,3.53,1.57,0.542,Agricultural,70.0,0.56,0.15,0,0,0,25_85
IND_S000002,26.55209,70.38742,Rajasthan,Barmer,Arid_West,246.3,3.11,341.1,0.493,443.7,341.3,49.8,30.1,6.12,1.01,0.07,1.49,0.138,Barren_Sandy,305.8,0.17,0.32,0,0,0,26_70
IND_S000003,22.87931,80.50394,Odisha,Koraput,Central_Plateau,392.0,0.1,162.4,0.215,1653.5,1214.9,233.6,25.2,11.2,0.55,1.59,2.55,0.727,Dense_Forest,401.3,0.28,0.21,0,0,0,22_80
IND_S000004,9.93682,76.59024,Kerala,Wayanad,Western_Ghats,80.0,4.3,88.2,-0.898,2988.2,2276.1,254.1,29.0,2.24,0.44,3.15,0.52,0.488,Plantation,387.5,0.11,0.33,1,0,0,9_76
IND_S000005,28.03166,95.23824,Assam,Morigaon,Eastern_Himalayas_NE,865.7,19.4,160.5,-1.621,2582.5,2025.7,236.3,25.3,5.6,2.43,0.41,1.03,0.146,Scrubland,41.4,0.32,0.28,0,0,0,28_95
IND_S000006,25.7249,94.12664,Assam,Dhemaji,Eastern_Himalayas_NE,686.5,11.77,255.8,-1.388,3704.4,3259.6,550.0,26.5,3.16,2.27,10.81,1.52,0.283,Scrubland,99.5,0.4,0.23,1,0,0,25_94
IND_S000007,31.74683,76.96598,Uttarakhand,Rudraprayag,Western_Himalayas,1311.8,55.22,312.9,-0.291,846.8,745.0,109.9,21.8,13.09,0.51,5.11,0.92,0.85,Dense_Forest,115.5,0.36,0.24,0,1,1,31_76
IND_S000008,16.38207,80.23451,Tamil Nadu,Nilgiris,Deccan_Plateau,553.5,11.61,26.4,-0.386,677.4,504.5,67.1,29.5,8.1,0.04,2.58,0.27,0.24,Scrubland,179.5,0.5,0.48,0,0,0,16_80
IND_S000009,13.05182,76.5023,Karnataka,Uttara Kannada,Western_Ghats,1099.9,14.32,105.4,-0.922,2239.0,1903.8,322.6,26.9,1.38,1.75,12.25,1.22,0.683,Dense_Forest,260.6,0.38,0.29,0,0,0,13_76
IND_S000010,23.89543,84.75807,Madhya Pradesh,Balaghat,Central_Plateau,324.7,9.28,56.1,1.034,1467.1,1095.9,210.3,28.9,2.53,0.61,0.77,0.84,0.804,Settlement,4277.9,0.39,0.8,0,0,0,23_84
IND_S000011,32.36912,76.83002,Uttarakhand,Chamoli,Western_Himalayas,2967.0,17.88,84.2,-1.031,836.5,698.9,92.6,18.8,5.32,1.29,1.54,0.45,0.85,Barren_Rocky,416.9,0.55,0.46,0,0,0,32_76
IND_S000012,26.83699,73.14832,Gujarat,Kutch,Arid_West,12.5,0.83,249.0,0.409,353.4,267.7,45.1,32.4,3.43,0.11,1.99,0.34,0.106,Scrubland,74.6,0.37,0.24,0,0,0,26_73
IND_S000013,13.66662,78.8339,Tamil Nadu,Nilgiris,Deccan_Plateau,309.9,0.72,318.6,0.585,420.6,315.4,40.1,31.8,8.15,0.0,5.08,0.93,0.274,Scrubland,144.5,0.27,0.12,0,0,0,13_78
IND_S000014,25.07758,90.58598,Assam,Morigaon,Eastern_Himalayas_NE,778.8,27.02,175.9,-1.966,3030.1,2329.1,435.8,28.3,2.0,1.7,1.35,1.69,0.259,Agricultural,179.7,0.19,0.41,0,1,0,25_90
IND_S000015,27.29645,94.97325,Sikkim,North Sikkim,Eastern_Himalayas_NE,1344.9,34.14,256.7,1.542,3162.3,2685.5,484.3,25.1,0.07,2.67,2.59,0.23,0.161,Scrubland,117.9,0.22,0.3,0,1,0,27_94
IND_S000016,25.40916,92.74342,Assam,Morigaon,Eastern_Himalayas_NE,727.7,9.93,307.9,1.033,2684.8,2051.5,199.8,24.7,0.11,1.58,0.38,1.23,0.228,Scrubland,48.9,0.27,0.5,0,0,0,25_92
IND_S000017,26.35745,79.71895,Uttar Pradesh,Ballia,Indo_Gangetic_Plain,80.1,0.21,311.2,0.321,688.8,603.6,98.6,30.5,0.14,2.82,5.59,1.24,0.316,Settlement,1712.6,0.47,0.63,0,0,0,26_79
IND_S000018,13.31274,74.33273,Kerala,Wayanad,Western_Ghats,267.3,23.07,83.3,-0.867,2338.4,2024.0,361.1,29.0,5.28,2.59,5.45,2.12,0.53,Settlement,4381.7,0.58,0.44,0,0,0,13_74
IND_S000019,27.14676,81.60411,Uttar Pradesh,Ballia,Indo_Gangetic_Plain,5.0,2.86,260.2,0.193,1329.1,1134.5,103.0,33.4,0.93,1.79,0.74,2.59,0.176,Agricultural,580.8,0.3,0.11,1,0,0,27_81
IND_S000020,27.40943,91.86839,Assam,Morigaon,Eastern_Himalayas_NE,1392.3,38.97,201.0,-1.938,2872.7,2065.2,268.3,25.2,2.25,0.7,5.9,1.37,0.361,Agricultural,821.3,0.5,0.21,0,0,0,27_91
IND_S000021,15.76067,76.75579,Kerala,Wayanad,Western_Ghats,1102.5,8.58,54.6,-0.317,3370.8,2961.4,356.0,26.2,2.63,1.63,3.84,2.98,0.784,Agricultural,491.1,0.22,0.18,0,0,0,15_76
IND_S000022,31.63665,78.37078,Himachal Pradesh,Kullu,Western_Himalayas,2107.1,12.66,76.9,0.263,1090.1,864.1,108.1,18.5,1.34,1.02,2.96,1.11,0.511,Dense_Forest,300.0,0.33,0.43,0,0,0,31_78
IND_S000023,26.3939,90.84151,Assam,Dhemaji,Eastern_Himalayas_NE,1007.3,1.97,4.6,0.401,2181.9,1676.7,135.0,26.9,2.1,1.18,1.23,1.06,0.545,Scrubland,570.3,0.16,0.14,0,0,0,26_90
IND_S000024,24.89156,84.70893,Uttar Pradesh,Gorakhpur,Indo_Gangetic_Plain,157.2,2.41,202.9,-0.361,1354.4,1034.1,208.9,32.3,2.67,0.67,33.24,0.05,0.243,Water_Body,573.1,0.47,0.33,0,0,0,24_84
IND_S000025,27.15133,79.13923,Uttar Pradesh,Ballia,Indo_Gangetic_Plain,5.0,5.92,91.2,-0.024,807.3,623.9,128.5,33.0,0.4,1.14,1.88,1.62,0.8,Settlement,2861.6,0.44,0.6,1,0,0,27_79
IND_S000026,19.99618,81.20866,Odisha,Mayurbhanj,Central_Plateau,548.3,1.51,353.9,-0.263,859.4,648.2,61.8,23.1,9.5,0.52,5.96,0.85,0.726,Plantation,19.9,0.41,0.44,0,0,0,19_81
IND_S000027,27.8458,91.48321,Assam,Dhemaji,Eastern_Himalayas_NE,1171.3,16.11,72.5,-1.734,2801.4,2458.1,356.4,22.7,0.75,1.99,3.34,2.22,0.316,Agricultural,371.0,0.25,0.39,0,0,0,27_91
IND_S000028,8.60148,75.25424,Maharashtra,Raigad,Western_Ghats,658.1,11.63,76.0,-2.878,1686.0,1193.6,193.9,26.4,6.31,1.86,0.37,0.72,0.875,Agricultural,179.8,0.14,0.48,0,0,0,8_75
IND_S000029,12.57426,76.03062,Karnataka,Kodagu,Western_Ghats,1052.8,28.34,135.4,-3.41,2872.7,2143.8,396.9,24.1,1.14,0.68,4.36,1.37,0.792,Plantation,528.7,0.42,0.13,0,1,0,12_76
IND_S000030,33.62927,76.06542,Himachal Pradesh,Kullu,Western_Himalayas,2791.3,26.52,125.5,0.604,1670.6,1379.5,283.5,21.6,10.92,0.34,2.12,1.26,0.527,Dense_Forest,442.9,0.56,0.27,0,1,0,33_76
IND_S000031,16.51261,75.29299,Kerala,Idukki,Western_Ghats,498.3,8.49,157.1,-1.188,1964.6,1496.0,320.6,28.8,0.49,2.65,5.83,0.9,0.66,Dense_Forest,743.1,0.17,0.16,0,0,0,16_75
IND_S000032,26.58073,92.32723,Meghalaya,East Khasi Hills,Eastern_Himalayas_NE,1202.8,6.91,124.0,1.063,2789.5,2317.4,416.1,27.3,0.71,1.67,0.8,2.19,0.101,Barren_Sandy,49.6,0.51,0.51,1,0,0,26_92
IND_S000033,30.34793,78.814,Himachal Pradesh,Mandi,Western_Himalayas,1562.7,26.28,203.6,-0.019,1727.7,1502.1,307.7,25.2,3.12,0.65,1.59,1.27,0.452,Barren_Rocky,519.8,0.17,0.32,0,1,0,30_78
IND_S000034,27.9729,70.38381,Gujarat,Kutch,Arid_West,172.1,15.0,117.5,-0.268,384.4,299.4,57.4,32.6,0.79,0.36,0.17,1.21,0.107,Barren_Sandy,137.4,0.31,0.44,0,0,0,27_70
IND_S000035,27.38555,71.28967,Rajasthan,Barmer,Arid_West,187.8,0.6,270.0,0.256,299.2,228.2,34.6,33.9,7.09,0.6,1.13,2.34,0.15,Barren_Sandy,14.7,0.14,0.26,0,0,0,27_71
IND_S000036,12.37078,77.58781,Telangana,Khammam,Deccan_Plateau,291.8,0.84,344.5,0.269,748.5,569.8,92.2,30.3,3.19,0.58,0.39,0.89,0.487,Agricultural,120.2,0.31,0.38,0,0,0,12_77
IND_S000037,24.62559,88.38498,West Bengal,Murshidabad,Indo_Gangetic_Plain,207.7,0.12,117.7,-0.167,1077.1,825.9,86.0,32.2,1.26,1.59,1.12,0.45,0.54,Agricultural,276.6,0.22,0.44,0,0,0,24_88
IND_S000038,30.07902,76.17333,Uttarakhand,Chamoli,Western_Himalayas,2334.5,33.99,68.5,-0.542,884.7,741.6,86.8,21.3,2.17,0.0,3.07,0.92,0.532,Open_Forest,881.9,0.25,0.26,0,0,0,30_76
IND_S000039,20.76461,81.44147,Odisha,Mayurbhanj,Central_Plateau,481.0,1.21,352.8,0.874,1669.4,1328.4,219.4,27.3,4.0,0.63,9.72,1.54,0.722,Agricultural,478.4,0.55,0.1,1,0,0,20_81
IND_S000040,27.4236,80.33168,Bihar,Katihar,Indo_Gangetic_Plain,79.4,0.25,286.4,0.343,984.0,796.5,138.8,30.6,1.17,0.71,0.94,1.48,0.665,Agricultural,600.0,0.15,0.3,0,0,0,27_80
IND_S000041,32.79851,77.76263,Himachal Pradesh,Kullu,Western_Himalayas,2527.8,23.61,75.7,-0.425,1767.1,1475.6,231.3,21.1,7.03,0.42,1.73,2.15,0.304,Settlement,460.7,0.58,0.78,0,0,0,32_77
IND_S000042,26.77258,86.83079,Uttar Pradesh,Gorakhpur,Indo_Gangetic_Plain,54.7,5.5,347.6,0.457,1591.6,1294.2,272.9,26.8,0.65,0.85,0.86,1.9,0.532,Water_Body,151.5,0.38,0.42,1,0,0,26_86
IND_S000043,30.12505,75.2201,Jammu & Kashmir,Doda,Western_Himalayas,1760.4,31.44,232.4,2.148,1375.6,1110.3,196.1,22.7,3.99,0.0,2.23,1.1,0.621,Dense_Forest,273.4,0.11,0.49,0,0,0,30_75
IND_S000044,23.25547,69.95125,Rajasthan,Jaisalmer,Arid_West,276.9,0.78,121.6,-0.512,299.6,222.3,43.6,27.7,3.79,0.9,2.47,1.9,0.29,Scrubland,837.1,0.32,0.47,0,0,0,23_69
IND_S000045,25.71997,92.59989,Assam,Morigaon,Eastern_Himalayas_NE,571.6,15.76,347.1,-2.648,1934.3,1508.8,123.3,30.1,0.37,1.82,0.72,1.34,0.339,Agricultural,175.0,0.13,0.32,0,0,0,25_92
IND_S000046,20.6341,80.96838,Odisha,Koraput,Central_Plateau,545.5,1.94,355.6,-0.112,1941.1,1376.4,236.0,27.0,15.25,0.83,2.1,0.05,0.578,Settlement,6728.9,0.52,0.54,0,0,0,20_80
