elevation_m,slope_deg,aspect_deg,curvature,slope_instability_index,annual_rainfall_mm,monsoon_rainfall_mm,max_daily_rainfall_mm,dist_to_road_km,dist_to_river_km,ndvi,lulc_Agricultural,lulc_Barren,lulc_Barren_Rocky,lulc_Barren_Sandy,lulc_Dense_Forest,lulc_Grassland,lulc_Open_Forest,lulc_Plantation,lulc_Scrubland,lulc_Settlement,lulc_Water_Body,lulc_Wetland,landslide_label,state,district
81.1,4.07,196.9,0.32,1.3024000000000002,1327.9,1158.5,217.5,3.53,2.04,0.542,True,False,False,False,False,False,False,False,False,False,False,False,0,West Bengal,Murshidabad
246.3,3.11,341.1,0.493,1.5332299999999999,443.7,341.3,49.8,0.07,6.12,0.138,False,False,False,True,False,False,False,False,False,False,False,False,0,Rajasthan,Barmer
392.0,0.1,162.4,0.215,0.021500000000000002,1653.5,1214.9,233.6,1.59,11.2,0.727,False,False,False,False,True,False,False,False,False,False,False,False,0,Odisha,Koraput
80.0,4.3,88.2,-0.898,3.8613999999999997,2988.2,2276.1,254.1,3.15,2.24,0.488,False,False,False,False,False,False,False,True,False,False,False,False,0,Kerala,Wayanad
865.7,19.4,160.5,-1.621,31.4474,2582.5,2025.7,236.3,0.41,5.6,0.146,False,False,False,False,False,False,False,False,True,False,False,False,0,Assam,Morigaon
686.5,11.77,255.8,-1.388,16.336759999999998,3704.4,3259.6,550.0,10.81,3.16,0.283,False,False,False,False,False,False,False,False,True,False,False,False,0,Assam,Dhemaji
1311.8,55.22,312.9,-0.291,16.06902,846.8,745.0,109.9,5.11,13.09,0.85,False,False,False,False,True,False,False,False,False,False,False,False,1,Uttarakhand,Rudraprayag
553.5,11.61,26.4,-0.386,4.48146,677.4,504.5,67.1,2.58,8.1,0.24,False,False,False,False,False,False,False,False,True,False,False,False,0,Tamil Nadu,Nilgiris
1099.9,14.32,105.4,-0.922,13.203040000000001,2239.0,1903.8,322.6,12.25,1.38,0.683,False,False,False,False,True,False,False,False,False,False,False,False,0,Karnataka,Uttara Kannada
324.7,9.28,56.1,1.034,9.59552,1467.1,1095.9,210.3,0.77,2.53,0.804,False,False,False,False,False,False,False,False,False,True,False,False,0,Madhya Pradesh,Balaghat
2967.0,17.88,84.2,-1.031,18.434279999999998,836.5,698.9,92.6,1.54,5.32,0.85,False,False,True,False,False,False,False,False,False,False,False,False,0,Uttarakhand,Chamoli
12.5,0.83,249.0,0.409,0.33946999999999994,353.4,267.7,45.1,1.99,3.43,0.106,False,False,False,False,False,False,False,False,True,False,False,False,0,Gujarat,Kutch
309.9,0.72,318.6,0.585,0.42119999999999996,420.6,315.4,40.1,5.08,8.15,0.274,False,False,False,False,False,False,False,False,True,False,False,False,0,Tamil Nadu,Nilgiris
778.8,27.02,175.9,-1.966,53.12132,3030.1,2329.1,435.8,1.35,2.0,0.259,True,False,False,False,False,False,False,False,False,False,False,False,1,Assam,Morigaon
1344.9,34.14,256.7,1.542,52.64388,3162.3,2685.5,484.3,2.59,0.07,0.161,False,False,False,False,False,False,False,False,True,False,False,False,1,Sikkim,North Sikkim
727.7,9.93,307.9,1.033,10.257689999999998,2684.8,2051.5,199.8,0.38,0.11,0.228,False,False,False,False,False,False,False,False,True,False,False,False,0,Assam,Morigaon
80.1,0.21,311.2,0.321,0.06741,688.8,603.6,98.6,5.59,0.14,0.316,False,False,False,False,False,False,False,False,False,True,False,False,0,Uttar Pradesh,Ballia
267.3,23.07,83.3,-0.867,20.00169,2338.4,2024.0,361.1,5.45,5.28,0.53,False,False,False,False,False,False,False,False,False,True,False,False,0,Kerala,Wayanad
5.0,2.86,260.2,0.193,0.55198,1329.1,1134.5,103.0,0.74,0.93,0.176,True,False,False,False,False,False,False,False,False,False,False,False,0,Uttar Pradesh,Ballia
1392.3,38.97,201.0,-1.938,75.52386,2872.7,2065.2,268.3,5.9,2.25,0.361,True,False,False,False,False,False,False,False,False,False,False,False,0,Assam,Morigaon
1102.5,8.58,54.6,-0.317,2.71986,3370.8,2961.4,356.0,3.84,2.63,0.784,True,False,False,False,False,False,False,False,False,False,False,False,0,Kerala,Wayanad
2107.1,12.66,76.9,0.263,3.32958,1090.1,864.1,108.1,2.96,1.34,0.511,False,False,False,False,True,False,False,False,False,False,False,False,0,Himachal Pradesh,Kullu
1007.3,1.97,4.6,0.401,0.7899700000000001,2181.9,1676.7,135.0,1.23,2.1,0.545,False,False,False,False,False,False,False,False,True,False,False,False,0,Assam,Dhemaji
157.2,2.41,202.9,-0.361,0.8700100000000001,1354.4,1034.1,208.9,33.24,2.67,0.243,False,False,False,False,False,False,False,False,False,False,True,False,0,Uttar Pradesh,Gorakhpur
5.0,5.92,91.2,-0.024,0.14208,807.3,623.9,128.5,1.88,0.4,0.8,False,False,False,False,False,False,False,False,False,True,False,False,0,Uttar Pradesh,Ballia
548.3,1.51,353.9,-0.263,0.39713000000000004,859.4,648.2,61.8,5.96,9.5,0.726,False,False,False,False,False,False,False,True,False,False,False,False,0,Odisha,Mayurbhanj
1171.3,16.11,72.5,-1.734,27.934739999999998,2801.4,2458.1,356.4,3.34,0.75,0.316,True,False,False,False,False,False,False,False,False,False,False,False,0,Assam,Dhemaji
658.1,11.63,76.0,-2.878,33.471140000000005,1686.0,1193.6,193.9,0.37,6.31,0.875,True,False,False,False,False,False,False,False,False,False,False,False,0,Maharashtra,Raigad
1052.8,28.34,135.4,-3.41,96.63940000000001,2872.7,2143.8,396.9,4.36,1.14,0.792,False,False,False,False,False,False,False,True,False,False,False,False,1,Karnataka,Kodagu
2791.3,26.52,125.5,0.604,16.018079999999998,1670.6,1379.5,283.5,2.12,10.92,0.527,False,False,False,False,True,False,False,False,False,False,False,False,1,Himachal Pradesh,Kullu
498.3,8.49,157.1,-1.188,10.08612,1964.6,1496.0,320.6,5.83,0.49,0.66,False,False,False,False,True,False,False,False,False,False,False,False,0,Kerala,Idukki
1202.8,6.91,124.0,1.063,7.34533,2789.5,2317.4,416.1,0.8,0.71,0.101,False,False,False,True,False,False,False,False,False,False,False,False,0,Meghalaya,East Khasi Hills
1562.7,26.28,203.6,-0.019,0.49932,1727.7,1502.1,307.7,1.59,3.12,0.452,False,False,True,False,False,False,False,False,False,False,False,False,1,Himachal Pradesh,Mandi
172.1,15.0,117.5,-0.268,4.0200000000000005,384.4,299.4,57.4,0.17,0.79,0.107,False,False,False,True,False,False,False,False,False,False,False,False,0,Gujarat,Kutch
187.8,0.6,270.0,0.256,0.1536,299.2,228.2,34.6,1.13,7.09,0.15,False,False,False,True,False,False,False,False,False,False,False,False,0,Rajasthan,Barmer
291.8,0.84,344.5,0.269,0.22596,748.5,569.8,92.2,0.39,3.19,0.487,True,False,False,False,False,False,False,False,False,False,False,False,0,Telangana,Khammam
207.7,0.12,117.7,-0.167,0.02004,1077.1,825.9,86.0,1.12,1.26,0.54,True,False,False,False,False,False,False,False,False,False,False,False,0,West Bengal,Murshidabad
2334.5,33.99,68.5,-0.542,18.422580000000004,884.7,741.6,86.8,3.07,2.17,0.532,False,False,False,False,False,False,True,False,False,False,False,False,0,Uttarakhand,Chamoli
481.0,1.21,352.8,0.874,1.05754,1669.4,1328.4,219.4,9.72,4.0,0.722,True,False,False,False,False,False,False,False,False,False,False,False,0,Odisha,Mayurbhanj
79.4,0.25,286.4,0.343,0.08575,984.0,796.5,138.8,0.94,1.17,0.665,True,False,False,False,False,False,False,False,False,False,False,False,0,Bihar,Katihar
2527.8,23.61,75.7,-0.425,10.03425,1767.1,1475.6,231.3,1.73,7.03,0.304,False,False,False,False,False,False,False,False,False,True,False,False,0,Himachal Pradesh,Kullu
54.7,5.5,347.6,0.457,2.5135,1591.6,1294.2,272.9,0.86,0.65,0.532,False,False,False,False,False,False,False,False,False,False,True,False,0,Uttar Pradesh,Gorakhpur
1760.4,31.44,232.4,2.148,67.53312000000001,1375.6,1110.3,196.1,2.23,3.99,0.621,False,False,False,False,True,False,False,False,False,False,False,False,0,Jammu & Kashmir,Doda
276.9,0.78,121.6,-0.512,0.39936000000000005,299.6,222.3,43.6,2.47,3.79,0.29,False,False,False,False,False,False,False,False,True,False,False,False,0,Rajasthan,Jaisalmer
571.6,15.76,347.1,-2.648,41.73248,1934.3,1508.8,123.3,0.72,0.37,0.339,True,False,False,False,False,False,False,False,False,False,False,False,0,Assam,Morigaon
545.5,1.94,355.6,-0.112,0.21728,1941.1,1376.4,236.0,2.1,15.25,0.578,False,False,False,False,False,False,False,False,False,True,False,False,0,Odisha,Koraput
107.6,2.46,16.5,0.073,0.17958,1270.3,1116.5,173.3,5.06,2.2,0.608,True,False,False,False,False,False,False,False,False,False,False,False,0,Bihar,Katihar
924.9,17.31,14.2,-1.44,24.926399999999997,2983.3,2359.4,503.1,0.69,1.88,0.622,False,False,False,False,False,False,False,False,False,False,True,False,0,Kerala,Wayanad
365.5,21.63,162.8,0.011,0.23792999999999997,4018.4,3250.0,397.8,1.73,1.28,0.851,False,False,False,False,True,False,False,False,False,False,False,False,1,Kerala,Wayanad
569.9,34.22,247.9,1.616,55.29952,3673.7,2845.1,376.3,6.11,4.59,0.02,False,False,False,False,False,False,False,False,False,True,False,False,0,Arunachal Pradesh,Lower Subansiri
187.1,0.6,232.8,0.549,0.3294,298.5,252.6,50.1,8.37,2.39,0.582,False,False,False,False,False,False,False,False,True,False,False,False,0,Gujarat,Kutch
452.9,4.78,310.1,-0.186,0.8890800000000001,1580.2,1249.9,213.8,0.05,5.48,0.614,False,False,False,False,False,False,False,False,False,False,True,False,0,Odisha,Mayurbhanj
218.5,1.27,126.0,0.029,0.03683,178.6,125.0,22.8,2.59,11.15,0.136,True,False,False,False,False,False,False,False,False,False,False,False,0,Rajasthan,Barmer
413.6,4.73,297.0,-0.037,0.17501,785.6,656.0,139.4,0.69,4.0,0.259,True,False,False,False,False,False,False,False,False,False,False,False,0,Andhra Pradesh,East Godavari
1181.6,20.67,14.7,-1.759,36.35853,3713.3,2611.1,300.8,1.86,0.42,0.572,False,False,False,False,False,False,False,False,False,False,True,False,0,Karnataka,Uttara Kannada
198.6,6.92,116.0,-0.57,3.9443999999999995,531.5,446.5,71.0,4.56,4.12,0.462,True,False,False,False,False,False,False,False,False,False,False,False,0,Rajasthan,Barmer
1487.4,35.73,212.7,0.831,29.691629999999996,1648.4,1369.2,286.9,2.43,1.99,0.483,False,False,False,False,True,False,False,False,False,False,False,False,0,Uttarakhand,Chamoli
1219.3,34.81,242.6,1.186,41.28466,2941.1,2177.6,195.1,0.95,1.44,0.394,True,False,False,False,False,False,False,False,False,False,False,False,1,Sikkim,North Sikkim
1058.4,17.42,136.7,1.925,33.533500000000004,1163.4,920.1,101.0,1.3,0.62,0.651,False,False,True,False,False,False,False,False,False,False,False,False,0,Himachal Pradesh,Kullu
98.0,1.38,213.2,-0.47,0.6486,930.7,671.0,136.3,7.21,1.48,0.8,False,False,False,False,False,False,False,False,False,False,False,True,0,Uttar Pradesh,Ballia
144.3,7.62,318.3,0.033,0.25146,1170.8,989.9,195.0,1.76,1.9,0.273,True,False,False,False,False,False,False,False,False,False,False,False,0,Uttar Pradesh,Ballia
722.1,18.6,192.2,0.626,11.643600000000001,2901.9,2031.5,379.6,8.37,3.02,0.616,False,False,False,False,False,False,False,False,False,True,False,False,0,Arunachal Pradesh,Lower Subansiri
442.5,0.54,188.7,0.306,0.16524,736.1,516.1,57.4,2.01,5.02,0.422,False,False,False,False,False,False,False,False,True,False,False,False,0,Telangana,Khammam
50.7,3.85,246.2,0.555,2.13675,1696.0,1492.1,161.4,0.92,1.63,0.514,True,False,False,False,False,False,False,False,False,False,False,False,0,West Bengal,Murshidabad
666.5,44.68,97.8,-0.092,4.1105599999999995,2804.6,2210.2,206.5,0.28,1.11,0.427,False,False,False,False,False,False,False,False,True,False,False,False,0,Assam,Dhemaji
552.2,27.3,184.1,-0.217,5.9241,2720.3,2009.7,167.7,0.6,3.09,0.815,True,False,False,False,False,False,False,False,False,False,False,False,0,Kerala,Wayanad
2351.3,20.02,198.6,0.949,18.99898,1332.7,1057.0,208.7,3.01,10.46,0.489,False,False,False,False,True,False,False,False,False,False,False,False,0,Uttarakhand,Rudraprayag
361.5,2.58,266.2,0.03,0.0774,921.6,725.0,133.2,10.91,19.83,0.317,True,False,False,False,False,False,False,False,False,False,False,False,0,Tamil Nadu,Nilgiris
2215.9,50.95,250.8,-0.531,27.054450000000003,1630.2,1276.3,143.1,5.52,1.79,0.684,False,False,False,False,False,False,True,False,False,False,False,False,0,Uttarakhand,Chamoli
312.0,0.73,189.9,0.052,0.03796,478.7,383.7,76.7,2.79,18.0,0.498,False,False,False,False,False,False,False,False,False,True,False,False,0,Rajasthan,Jaisalmer
352.6,0.53,197.5,0.018,0.00954,1675.7,1379.1,124.9,1.15,7.32,0.695,False,False,False,False,True,False,False,False,False,False,False,False,0,Chhattisgarh,Bastar
771.7,21.98,247.2,-0.361,7.93478,3099.1,2495.7,203.9,5.95,1.62,0.077,True,False,False,False,False,False,False,False,False,False,False,False,0,Arunachal Pradesh,Lower Subansiri
2323.8,32.08,77.1,-1.488,47.73504,1468.1,1081.1,133.4,0.53,11.72,0.733,False,False,False,False,False,False,False,False,False,True,False,False,1,Himachal Pradesh,Mandi
365.0,1.12,96.7,-0.699,0.78288,431.8,351.5,68.1,3.88,2.82,0.29,False,False,False,False,False,False,False,False,True,False,False,False,0,Tamil Nadu,Nilgiris
544.0,0.96,102.1,0.344,0.33024,1416.0,1238.4,158.2,1.49,7.81,0.92,False,False,False,False,False,False,False,True,False,False,False,False,0,Chhattisgarh,Bastar
405.2,6.84,13.7,-0.07,0.47880000000000006,1342.8,1167.6,126.0,1.41,0.33,0.603,True,False,False,False,False,False,False,False,False,False,False,False,0,Odisha,Mayurbhanj
487.3,1.0,267.5,-0.922,0.922,1165.3,893.0,95.8,12.62,1.2,0.71,False,False,False,False,True,False,False,False,False,False,False,False,0,Odisha,Mayurbhanj
1453.2,26.65,320.3,0.366,9.7539,1671.8,1400.8,257.2,2.67,9.25,0.398,False,False,False,False,False,False,True,False,False,False,False,False,1,Uttarakhand,Rudraprayag
155.9,0.66,57.8,-0.165,0.10890000000000001,1250.5,1057.9,133.6,0.99,0.42,0.564,False,False,False,False,False,False,False,False,False,False,False,True,0,Uttar Pradesh,Gorakhpur
