elevation_m,slope_deg,south_facing_aspect_index,mean_temperature_c,annual_rainfall_mm,fuel_aridity_index,ndvi,dist_to_road_km,dist_to_river_km,lulc_Agricultural,lulc_Barren,lulc_Barren_Rocky,lulc_Barren_Sandy,lulc_Dense_Forest,lulc_Grassland,lulc_Open_Forest,lulc_Plantation,lulc_Scrubland,lulc_Settlement,lulc_Water_Body,lulc_Wetland,wildfire_label,state,district
81.1,4.07,0.9568135840576074,28.6,1327.9,10.855942292877653,0.542,3.53,2.04,True,False,False,False,False,False,False,False,False,False,False,False,0,West Bengal,Murshidabad
246.3,3.11,-0.9460853588275454,30.1,443.7,7.6398749310281415,0.138,0.07,6.12,False,False,False,True,False,False,False,False,False,False,False,False,0,Rajasthan,Barmer
392.0,0.1,0.953190667792947,25.2,1653.5,10.447904191616766,0.727,1.59,11.2,False,False,False,False,True,False,False,False,False,False,False,False,0,Odisha,Koraput
80.0,4.3,-0.03141075907812828,29.0,2988.2,4.582604753578136,0.488,3.15,2.24,False,False,False,False,False,False,False,True,False,False,False,False,0,Kerala,Wayanad
865.7,19.4,0.9426414910921784,25.3,2582.5,1.3769990680335507,0.146,0.41,5.6,False,False,False,False,False,False,False,False,True,False,False,False,0,Assam,Morigaon
686.5,11.77,0.24530738587880233,26.5,3704.4,1.9712701082956574,0.283,10.81,3.16,False,False,False,False,False,False,False,False,True,False,False,False,0,Assam,Dhemaji
1311.8,55.22,-0.6807208689589175,21.8,846.8,19.57118715673849,0.85,5.11,13.09,False,False,False,False,True,False,False,False,False,False,False,False,1,Uttarakhand,Rudraprayag
553.5,11.61,-0.8957117602394127,29.5,677.4,9.107280679187035,0.24,2.58,8.1,False,False,False,False,False,False,False,False,True,False,False,False,0,Tamil Nadu,Nilgiris
1099.9,14.32,0.265556117486809,26.9,2239.0,7.854938007695598,0.683,12.25,1.38,False,False,False,False,True,False,False,False,False,False,False,False,0,Karnataka,Uttara Kannada
324.7,9.28,-0.5577451089796901,28.9,1467.1,14.827132920681516,0.804,0.77,2.53,False,False,False,False,False,False,False,False,False,True,False,False,0,Madhya Pradesh,Balaghat
2967.0,17.88,-0.1010562971829462,18.8,836.5,17.063534436732514,0.85,1.54,5.32,False,False,True,False,False,False,False,False,False,False,False,False,0,Uttarakhand,Chamoli
12.5,0.83,0.3583679495453004,32.4,353.4,7.57476841640935,0.106,1.99,3.43,False,False,False,False,False,False,False,False,True,False,False,False,0,Gujarat,Kutch
309.9,0.72,-0.7501110696304598,31.8,420.6,16.736842105263158,0.274,5.08,8.15,False,False,False,False,False,False,False,False,True,False,False,False,0,Tamil Nadu,Nilgiris
778.8,27.02,0.997440782930944,28.3,3030.1,2.3416823743650363,0.259,1.35,2.0,True,False,False,False,False,False,False,False,False,False,False,False,0,Assam,Morigaon
1344.9,34.14,0.23004973718810467,25.1,3162.3,1.2387272783005854,0.161,2.59,0.07,False,False,False,False,False,False,False,False,True,False,False,False,0,Sikkim,North Sikkim
727.7,9.93,-0.6142852000989429,24.7,2684.8,2.022263717322608,0.228,0.38,0.11,False,False,False,False,False,False,False,False,True,False,False,False,0,Assam,Morigaon
80.1,0.21,-0.6586894601186802,30.5,688.8,12.218559837728195,0.316,5.59,0.14,False,False,False,False,False,False,False,False,False,True,False,False,0,Uttar Pradesh,Ballia
267.3,23.07,-0.11667073709933316,29.0,2338.4,6.303313648293964,0.53,5.45,5.28,False,False,False,False,False,False,False,False,False,True,False,False,0,Kerala,Wayanad
5.0,2.86,0.17020949916603284,33.4,1329.1,4.113358057518718,0.176,0.74,0.93,True,False,False,False,False,False,False,False,False,False,False,False,0,Uttar Pradesh,Ballia
1392.3,38.97,0.9335804264972017,25.2,2872.7,3.0602482591583406,0.361,5.9,2.25,True,False,False,False,False,False,False,False,False,False,False,False,0,Assam,Morigaon
1102.5,8.58,-0.579281172342679,26.2,3370.8,5.918174484268756,0.784,3.84,2.63,True,False,False,False,False,False,False,False,False,False,False,False,0,Kerala,Wayanad
2107.1,12.66,-0.22665130743685497,18.5,1090.1,7.943450130241157,0.511,2.96,1.34,False,False,False,False,True,False,False,False,False,False,False,False,0,Himachal Pradesh,Kullu
1007.3,1.97,-0.9967788784562471,26.9,2181.9,6.424689951356325,0.545,1.23,2.1,False,False,False,False,False,False,False,False,True,False,False,False,0,Assam,Dhemaji
157.2,2.41,0.9211854055657211,32.3,1354.4,5.396658415841583,0.243,33.24,2.67,False,False,False,False,False,False,False,False,False,False,True,False,0,Uttar Pradesh,Gorakhpur
5.0,5.92,0.02094241988335705,33.0,807.3,29.097321723795883,0.8,1.88,0.4,False,False,False,False,False,False,False,False,False,True,False,False,0,Uttar Pradesh,Ballia
