srtm_elevation_m,srtm_slope_deg,rainfall_24h_mm,rainfall_3day_mm,rainfall_7day_mm,label
438.0,21.055864654289834,68.41,201.62,276.0,1
831.0,1.3792096155525964,1.9,6.65,63.63,0
3656.0,18.635071071562965,26.44,39.23,67.05,1
3597.0,3.4093232763232195,0.85,26.76,42.07,1
60.0,0.9279360212320218,19.5,29.72,66.66,0
691.0,15.52239143788513,2.22,2.7,4.96,1
518.0,15.90253899199594,32.2,41.57000000000001,112.29,0
4921.0,18.16245410831036,0.0,6.46,10.05,0
344.0,16.11439528962378,60.34,88.29,265.54999999999995,0
362.0,26.603613591712616,19.84,67.37,124.36,1
4595.0,32.61676421080414,2.96,2.97,15.849999999999998,0
251.0,5.086931726787173,0.0,0.0,0.0,0
2324.0,35.45838743375222,1.06,2.35,2.76,0
70.0,2.074835486339849,28.1,54.46,126.49,0
1781.0,47.78265683366361,2.03,33.92,37.3,0
2023.0,5.541356985555456,8.69,18.26,60.98,1
2061.0,51.13570638267471,4.46,8.68,14.510000000000002,1
80.0,3.094528602970568,14.03,17.45,51.71,0
562.0,0.0,33.28,46.5,60.54,0
969.0,22.717560039379222,11.41,19.1,46.34,1
2829.0,33.48153613896651,1.58,2.37,4.4,0
2223.0,17.59414937980461,0.39,2.76,7.5,0
315.0,11.56504348955916,15.22,43.75,59.02,1
1240.0,6.945165977852489,0.0,6.720000000000001,29.01,0
29.0,1.931069681332848,50.13,143.43,264.25,0
592.0,2.662795768463507,12.91,42.63,97.02,0
4902.0,23.616829842981723,9.6,10.33,17.79,0
516.0,1.852254273911334,5.14,10.92,31.46,1
22.0,3.820037031602483,6.88,13.71,14.96,1
772.0,16.192818291654365,8.91,9.84,56.2,1
2280.0,25.95984415887085,8.65,130.37,227.29,1
915.0,32.14047651591544,0.0,16.83,27.92,1
77.0,2.0730284066732945,75.47,96.09,134.93,0
1629.0,33.58757394207549,21.73,26.54,84.49000000000001,1
47.0,4.806912083386269,0.0,0.07,8.69,1
949.0,36.44619065843627,11.86,53.09,65.68,1
765.0,3.788974062717371,1.84,21.62,27.790000000000003,1
854.0,5.665662304734231,11.86,32.83,58.1,0
1469.0,27.37773118563808,3.05,19.37,49.59,1
38.0,11.871456679785297,35.69,73.43,192.26,0
140.0,7.454115746843003,69.17,82.73,104.82,0
689.0,28.20544447745285,23.54,27.44,31.17,0
283.0,3.541259322307272,19.62,34.44,38.61,0
4567.0,28.964894639021505,18.18,48.63,64.09,0
6018.0,44.2286043209223,14.41,23.67,31.15,0
48.0,0.9279360212320218,22.09,75.4,106.16,0
31.0,2.093966488382004,3.47,63.05,102.88,0
714.0,17.944030962640117,1.23,1.38,5.76,1
272.0,0.0,1.69,5.47,15.8,1
4609.0,23.717108229405508,17.6,35.61,61.38,0
1721.0,32.036867678851394,9.1,18.79,35.94,1
1880.0,16.62353858181991,11.7,44.92,108.09,1
1665.0,2.7771727466475022,19.15,33.55,40.58,1
1.0,0.0,11.19,63.82,369.24,0
1624.0,10.14435316463087,4.8,44.85,89.02,0
3634.0,19.60937106827232,0.26,1.65,17.970000000000002,1
1940.0,36.86570677129888,121.65,229.57,299.88,0
462.0,17.05316578885703,12.35,93.39,115.49,1
614.0,48.99498819683531,14.2,33.71,54.64,1
4125.0,32.08742819767972,29.35,64.94,93.64,1
3961.0,41.18657624288336,1.03,3.17,8.33,0
54.0,4.170201739982462,5.1,17.97,68.63,1
2070.0,3.843242343997,99.34,122.1,123.02,1
516.0,2.132886133975654,16.3,128.77,180.81,0
259.0,1.1039010182751994,0.26,8.22,39.32999999999999,0
3048.0,43.30146987216884,30.5,65.25,91.89,1
1172.0,4.792573942710484,38.12,50.58,50.91,1
778.0,33.72093083946527,9.52,47.05,81.86999999999999,1
792.0,26.612107126769075,5.24,8.83,40.370000000000005,0
68.0,26.339834805368906,80.23,186.85,316.27,1
4988.0,19.68599438852267,0.98,0.98,1.42,0
1616.0,20.91052344416806,8.92,33.58,105.54,1
56.0,3.700645055238003,25.06,40.56,86.2,1
246.0,1.074719831270563,1.28,3.37,76.58,0
465.0,1.416250048925187,5.37,70.18,162.89,1
3102.0,48.40740274375446,9.73,10.65,18.52,0
3409.0,38.08056244439591,0.0,0.0,0.0,0
59.0,3.097164657034936,14.88,39.84,103.74,0
54.0,2.125092589258966,16.42,92.68,150.55,0
252.0,23.119881010719286,9.06,26.94,83.13,1
97.0,1.3919879016772103,32.99,67.16,117.99,0
199.0,3.4717273910601247,16.27,44.53,179.88,0
95.0,2.2596069882281813,5.06,34.13,69.33,0
235.0,13.777425286985055,62.76,151.09,174.79,1
17.0,1.3198413331627996,0.69,3.67,4.42,0
1704.0,30.86093898912052,5.78,14.93,47.43,1
107.0,8.517835654237123,62.76,151.09,174.79,1
827.0,8.346173123530923,25.53,36.34,51.46,0
94.0,1.3298246343690574,14.84,46.11,46.11,0
1103.0,29.78881688552435,1.56,6.49,43.75000000000001,0
4979.0,20.64771529070913,17.68,62.83,109.91,0
4558.0,32.89198562631425,2.88,6.029999999999999,30.4,0
108.0,2.783687548908092,17.23,51.08,114.21,0
131.0,17.83550082323129,31.68,55.28,62.83,1
652.0,6.90554449816956,69.29,204.82,324.44,0
89.0,17.429220646877386,54.42,121.7,190.57,1
89.0,2.2509988259497087,8.42,36.03,73.39,1
1846.0,26.62055403885808,8.04,21.14,56.22,0
1704.0,16.072160878428527,18.3,31.65,48.82,1
229.0,4.240565379086304,0.0,0.0,0.0,0
83.0,10.286118871948458,126.76,191.59,231.7,1
116.0,2.1305573860290434,20.68,61.23,127.15,0
4508.0,40.04236321391731,16.78,25.44,26.85,0
4294.0,10.988236381541263,3.08,8.81,16.060000000000002,1
906.0,5.467414961578641,57.83,88.25,155.86,1
849.0,34.43147599934835,0.0,0.0,0.29,1
120.0,1.0470662401014994,11.38,30.1,69.28999999999999,0
1073.0,29.77178592100088,9.47,13.420000000000002,26.85,0
63.0,6.774041654801501,126.76,191.59,231.7,1
3133.0,53.19816870906616,4.24,5.78,5.79,1
67.0,3.1846773796408008,29.88,201.15,235.64,0
939.0,31.47977191414952,0.36,25.39,201.05,1
251.0,1.855385510825832,4.53,16.12,41.28,0
1023.0,15.739908627193008,0.0,3.48,3.62,1
652.0,7.370669485322712,20.33,86.83,149.99,1
253.0,3.768919562687892,4.02,4.069999999999999,4.069999999999999,0
5405.0,46.46578905738842,6.7,11.07,19.97,0
155.0,3.700645055238003,18.37,38.08,104.67000000000002,1
842.0,14.870465426687918,10.84,38.36,128.61,0
1392.0,23.59944453879583,2.25,38.07,68.44,0
251.0,7.629551236796638,43.86,118.85,119.7,0
1864.0,37.96614139999003,0.0,1.47,1.71,1
911.0,29.561243798997648,30.63,41.94,60.11,0
31.0,7.701880222505727,12.64,35.42,114.51,0
1194.0,26.547637653849502,11.21,15.61,37.32,0
1032.0,9.491804969269264,0.57,4.21,19.48,1
383.0,0.9279360212320218,17.23,29.08,44.97,0
356.0,8.421078548876993,66.02,138.38,171.2,0
162.0,2.9688730583319134,42.73,61.92999999999999,96.57,0
29.0,6.848278705535517,0.78,4.07,4.8500000000000005,1
3234.0,28.1715694870577,10.43,22.36,59.61,0
735.0,16.979202935930157,13.98,24.3,62.010000000000005,0
33.0,8.502598277572446,31.02,74.65,111.39,1
813.0,31.709175409289443,5.02,60.11999999999999,93.61,1
3482.0,3.700645055238003,5.71,10.72,23.81,1
249.0,3.3299365793605253,20.88,53.52,78.74,0
4038.0,14.259553236615396,7.21,9.31,17.45,1
1692.0,35.37507822488846,40.59,51.03,121.26,1
3340.0,23.370374339199465,5.76,10.85,14.62,0
70.0,2.7823345378056263,0.59,31.02,50.64000000000001,0
3433.0,32.0694204020097,1.11,3.82,40.96,1
1480.0,19.5555435277917,18.81,42.35,96.7,1
302.0,2.648079745543931,6.06,14.079999999999998,16.7,0
91.0,1.3913139966242567,0.1,5.19,30.380000000000003,0
1014.0,37.48835437901496,15.7,26.23,96.52,1
193.0,1.0404997890433374,9.06,26.94,83.13,0
453.0,2.12124052295632,11.0,22.05,35.129999999999995,0
935.0,37.723480140093805,26.57,46.38,110.58,1
72.0,1.852254273911334,2.3,44.38,122.91,1
605.0,5.632556641196339,4.34,40.53,57.3,0
151.0,33.16935424915344,13.58,44.56,78.74999999999999,0
53.0,2.9534493983647088,0.0,0.0,0.17,1
782.0,22.376413604605453,62.72,167.31,253.55,0
1697.0,27.8363573766634,0.0,21.05,24.87,1
128.0,2.9407724359503926,80.11,164.95999999999998,194.72,1
181.0,9.059129601499915,30.64,31.27,57.77,0
3635.0,29.6227508074082,0.08,5.32,14.62,1
1097.0,44.430073425819,54.79,112.18,129.74,1
77.0,1.852254273911334,3.98,10.3,24.95,1
162.0,2.9688730583319134,19.95,68.77,172.52999999999997,0
245.0,5.658376909080228,1.56,29.91,77.23,0
31.0,3.4519519590329204,9.62,53.73,86.87,0
208.0,1.0609309256765318,56.01,129.98,182.55,0
90.0,0.0,36.01,56.06,99.1,0
741.0,24.34776694429573,15.38,39.59,55.84,1
160.0,0.9279360212320218,39.96,74.91,80.4,0
1457.0,16.358925180416595,8.65,30.54,97.12,1
3643.0,24.179845444978056,8.8,12.4,24.12,1
1117.0,25.27405098673725,1.09,29.28,107.85,0
444.0,34.250705009652044,13.28,123.86,174.28,1
803.0,23.54180341134965,63.91,90.54,94.09,1
122.0,13.922767611028302,89.03,129.55,195.04,0
4762.0,9.33958725477088,38.38,91.16,130.91,0
2002.0,38.827708461917176,9.84,16.630000000000003,31.94,1
296.0,1.0989845557640323,17.45,18.09,30.08,0
51.0,2.123785677190883,13.66,55.56,218.82,0
52.0,14.26025698439723,2.37,35.21999999999999,57.54999999999999,1
794.0,8.356664545951155,1.35,40.62,102.63,1
1892.0,19.907674782092712,10.51,48.53,115.02,1
447.0,5.4874335175726685,43.3,58.36,97.48,0
49.0,5.541356985555456,41.64,105.28,124.0,1
1767.0,27.03128183002612,0.0,4.61,4.61,0
1475.0,21.996448262013043,46.34,65.57000000000001,77.47,1
4377.0,28.66372929165834,0.25,5.0,18.48,0
1348.0,7.218385510883914,52.1,92.98,96.35,0
1597.0,23.571858814592737,15.93,28.57,61.51,1
3286.0,41.50394072850535,9.65,93.78,116.73,1
3971.0,7.509765746244407,5.16,12.36,79.16000000000001,1
2246.0,17.444184049818062,1.31,2.38,14.27,1
640.0,16.007557824582094,34.97,69.15,91.07,0
1171.0,7.440685346262844,9.26,32.72,75.34,1
939.0,13.089378757745736,2.09,71.58,85.55000000000001,1
3145.0,15.035980955680827,10.58,29.47,53.98,1
292.0,21.17800538487376,33.85,104.08,139.33,0
1167.0,1.387753790258008,6.05,35.82,62.330000000000005,1
1779.0,24.17357170238777,10.3,41.39,117.9,1
842.0,14.870465426687918,4.92,23.31,95.24,0
1359.0,9.939451079858264,18.4,27.8,41.91,1
883.0,11.02686865351432,6.05,15.81,128.41,1
210.0,4.208589971140298,0.0,0.0,0.0,1
4162.0,15.390110042494245,3.58,14.76,14.9,0
695.0,0.956338313097961,13.78,46.52,68.73,0
943.0,4.222562240497519,24.39,61.42,78.46,1
24.0,1.3522407018057625,67.14,279.38,503.38,0
53.0,1.855385510825832,21.01,25.57,30.22,0
740.0,48.95219701632973,39.81,124.73,205.07,1
2070.0,27.61139974874638,3.82,7.220000000000001,7.220000000000001,0
1002.0,23.248847186308105,26.82,107.81,120.26,1
886.0,2.69311681836279,43.2,136.69,196.2,1
1371.0,27.026628812346573,26.82,107.81,120.26,1
917.0,15.423250149143202,42.04,115.14,159.8,0
725.0,7.055762708565462,6.76,7.0,7.0,1
346.0,1.4149856813620445,8.04,86.88,122.43,1
433.0,2.9644296324227457,0.0,0.0,0.0,1
25.0,2.78186346598435,4.75,82.72,121.28,0
188.0,1.4078065052355977,7.78,29.62,129.14,0
765.0,22.74785701497187,86.16,152.1,209.39,1
29.0,6.547291944286205,1.12,11.260000000000002,74.38000000000001,0
4421.0,52.31670664482888,54.04,75.95,122.98,0
188.0,3.8493673357567135,31.9,73.12,194.39,0
1448.0,7.21118022434726,48.8,118.09,140.11,1
2360.0,35.26851652233437,0.0,4.2,21.1,0
3223.0,24.175669733045574,26.63,29.99,49.56,0
1216.0,20.153485331958937,0.0,3.48,3.62,0
449.0,13.060744781145305,31.7,94.81,112.22,0
1711.0,14.964338094507506,1.68,31.23,61.28,1
1420.0,20.9659831308612,3.35,14.73,69.02,0
2156.0,6.70560284429085,1.53,1.88,1.88,0
5015.0,24.679803469545966,3.57,9.52,28.72000000000001,0
1009.0,6.350384387505836,3.7,100.7,118.29,1
257.0,0.9279360212320218,13.48,46.83,65.04,0
297.0,1.855385510825832,1.33,5.93,5.949999999999999,0
537.0,15.621730337348511,32.96,96.01,110.07,1
2012.0,16.2537900442643,10.81,32.34,38.54,0
3762.0,12.964867886244123,10.5,37.88,89.33000000000001,1
1518.0,29.65882754630845,14.03,26.89,34.370000000000005,1
260.0,3.706887929602367,7.02,22.18,70.55999999999999,0
73.0,1.3919879016772103,9.37,19.65,186.59,0
1472.0,35.44302015827086,85.19,152.0,178.39999999999998,1
1008.0,2.412438984569611,13.98,40.98,45.7,1
228.0,2.0983546673141693,45.8,89.09,94.49,0
106.0,0.9279360212320218,15.71,23.29,138.10000000000002,0
33.0,4.921340582296557,9.38,10.96,11.170000000000002,1
1572.0,20.520802199635945,35.98,56.2,82.43,1
2240.0,22.11867410862787,24.22,70.39,156.58,1
34.0,14.316083944889312,13.14,178.27999999999997,279.81999999999994,1
176.0,2.974561461825178,12.4,22.36,191.29,0
13.0,4.741233271626775,106.97,142.19,245.4,0
3748.0,6.500107243904632,5.78,16.5,52.290000000000006,1
981.0,12.803323355556538,5.31,82.66,101.37,1
49.0,12.196881711262012,0.0,0.0,0.0,0
1117.0,25.27405098673725,1.79,247.96,444.03,0
332.0,30.31463274274103,67.74,226.64,303.78,1
38.0,5.005423645157531,75.84,132.31,189.13,0
1514.0,36.11996772784842,17.23,50.42,63.43000000000001,0
3756.0,29.06584863357883,0.95,11.009999999999998,19.97,0
882.0,26.166571174780973,18.66,46.72,104.73,1
4957.0,5.486663942016925,70.77,276.97,366.27,0
97.0,16.258307684159355,36.07,193.02,216.62,0
46.0,1.3764031215077237,75.63,179.70999999999998,267.54999999999995,1
539.0,5.118722656177003,0.0,0.0,0.09,0
613.0,36.37239606977481,20.2,46.84,46.84,1
970.0,39.97154841221555,24.92,62.81,104.28,1
1068.0,37.19076938656501,36.09,99.22,122.81,0
2310.0,54.529517153990575,102.57,166.76999999999998,212.94,1
21.0,4.629981483311581,18.44,56.52,199.94,0
77.0,2.0730284066732945,3.21,22.99,23.02,0
267.0,1.0791474913109966,92.11,139.64,141.39,0
674.0,4.247387267990436,53.35,154.98,246.72,0
9.0,3.8297200944611607,43.92,159.39,407.11000000000007,0
732.0,28.13851561288479,5.53,15.66,54.81,1
1535.0,30.18256697884878,10.62,28.36,32.48,1
2866.0,38.19421370977621,6.0,6.54,20.78,0
218.0,0.0,34.53,45.56,45.83,0
1614.0,3.829358129912846,32.32,33.8,38.38,1
13.0,3.85383968584986,56.88,100.21,101.73,1
445.0,1.896805978196754,3.33,7.75,26.190000000000005,0
242.0,6.457665776341533,5.22,59.88,135.53,1
292.0,1.855385510825832,10.33,33.48,54.34,0
1609.0,21.407229002749872,6.11,63.47,78.99,1
3529.0,18.94556701290291,0.28,2.95,2.95,0
1336.0,8.923651616094908,43.62,81.55,82.08,1
51.0,1.3531257322037558,17.32,202.78,368.47,0
32.0,6.690831545688622,6.6,27.26,48.37,1
1650.0,15.451697691723986,10.3,41.39,117.9,1
51.0,3.352439961154928,6.29,25.44,52.27,1
2186.0,9.24914983966009,0.97,5.4,17.91,1
1309.0,14.977232971625735,3.09,41.16,49.120000000000005,1
3891.0,53.861450865379815,0.88,1.82,1.93,0
652.0,6.90554449816956,79.89,263.3,465.64,0
457.0,59.82470231796099,67.74,192.97,308.56,1
94.0,33.176892706415046,0.0,0.0,18.380000000000003,1
61.0,13.431710879642932,31.84,74.68,113.64,1
767.0,15.602965934745434,20.54,33.08,66.15,0
100.0,3.468457799956008,3.21,5.53,25.27,0
105.0,1.396111711548549,7.48,8.99,45.14,0
1134.0,16.906321605900473,0.0,0.01,0.23,0
1720.0,26.52198374933476,3.31,8.24,111.25,0
59.0,8.3307443459884,18.99,53.48,167.67000000000002,1
74.0,0.9279360212320218,75.47,96.09,134.93,0
913.0,22.010530178001503,8.09,33.209999999999994,61.89,1
2119.0,16.813128021329536,4.53,9.04,21.88,1
355.0,5.226876247386835,9.11,27.57,97.88,1
657.0,35.99026913099253,19.47,27.06,113.47,1
55.0,2.2725543213430552,14.45,45.81,141.76,0
1720.0,26.52198374933476,35.98,56.2,82.43,0
281.0,31.07865162206227,4.63,28.19,47.010000000000005,1
481.0,0.0,0.21,14.51,56.51,0
1039.0,31.923422990740328,32.69,37.96,52.49,1
1155.0,24.48993370133901,4.33,53.08,140.42000000000002,1
76.0,2.77965122679813,4.56,21.22,42.43000000000001,0
1614.0,3.346908774692193,18.91,18.91,28.0,1
2698.0,31.970969125532,0.0,0.0,0.07,0
345.0,7.521970156592409,13.82,23.91,48.37,1
73.0,8.336204940705555,22.99,145.2,203.48,1
292.0,2.142705838994332,6.17,22.4,84.60000000000001,0
28.0,3.700645055238003,24.01,51.69,79.93,1
1805.0,37.68618640534494,12.12,45.94,89.81,0
94.0,2.1395467846167944,0.0,0.0,0.0,0
1759.0,41.03613415413796,2.72,2.72,2.72,1
3424.0,27.3282937562371,0.04,9.249999999999998,15.88,0
4888.0,32.20127134450985,4.88,27.65,73.77,0
13.0,4.167614563356857,9.03,23.01,158.78999999999996,1
866.0,27.282090548675143,12.9,73.66000000000001,106.5,1
84.0,8.895692965992287,38.98,109.25,235.03,1
5690.0,25.79379580695572,19.29,37.63,74.31,0
2250.0,10.1278622695706,15.98,58.7,78.82,1
4632.0,20.664817837011523,23.96,45.33,48.46,0
506.0,7.17820056681424,45.14,98.18,125.31,0
131.0,4.25523899013677,4.5,133.87,286.93,0
665.0,13.65789287035141,6.47,8.5,16.71,0
234.0,2.139508095141959,11.21,121.5,201.36,0
1027.0,37.22257538990599,8.49,24.21,59.02,1
732.0,13.153197791915655,0.0,10.84,13.89,1
1420.0,16.481219276974137,13.93,65.93,118.33,1
2084.0,29.49963218486065,5.11,6.74,6.99,1
986.0,23.3426946121037,9.93,17.18,36.45,1
5672.0,6.556762003427905,14.41,23.67,31.15,0
858.0,35.58523851286944,153.7,286.17,391.94,1
1061.0,43.53284034519977,0.0,0.0,45.6,1
3015.0,1.4588732609510444,8.74,15.63,32.86,0
1356.0,17.146467004017005,37.1,38.07,39.25,1
1993.0,41.86004587307679,18.73,20.43,44.75,1
333.0,2.154485725419373,19.84,67.37,124.36,1
90.0,2.78186346598435,12.35,22.5,23.02,0
2113.0,18.4576783483465,1.48,5.92,44.28999999999999,1
1607.0,33.42494578296137,3.35,14.73,69.02,1
1590.0,1.852254273911334,4.78,5.75,77.34,1
87.0,0.9279360212320218,19.29,61.73,144.37,0
2274.0,43.28983135176311,18.63,26.49,32.52,0
948.0,11.881195099762618,15.7,26.23,96.52,1
379.0,27.24629211014172,26.52,159.77,289.23,1
3008.0,55.95781002444957,3.46,14.59,112.61,1
3840.0,18.06424596253553,31.02,32.91,32.91,0
826.0,12.81474088364528,4.42,4.61,5.8100000000000005,1
11.0,11.228844962850127,6.67,14.97,20.12,0
560.0,24.638327529773587,7.48,55.41,102.32,1
1561.0,31.20257453975428,61.51,118.73,171.84,1
1530.0,12.468805697210712,8.1,17.36,37.6,1
325.0,2.9820322857956048,76.25,149.22,217.19,0
2883.0,18.143904536644406,53.57,112.12,162.06,0
117.0,1.0386671350979773,5.05,23.56,61.66,0
1657.0,31.579415431363547,5.78,14.93,47.43,1
4048.0,23.34643419528896,13.13,22.12,92.85,0
2198.0,31.114953036097564,6.88,35.59,54.4,0
599.0,2.950787675961827,18.2,112.3,171.24999999999997,0
159.0,2.7990810531410406,26.84,29.06,53.64,0
382.0,8.640730643222938,0.12,0.9,5.15,0
19.0,3.870121403677967,24.01,51.69,79.93,1
2315.0,20.64670763005255,2.51,7.39,40.940000000000005,1
86.0,1.852254273911334,181.45,282.54999999999995,437.92,1
67.0,3.1846773796408008,16.55,46.88,215.49000000000004,0
1851.0,15.44343837315911,35.29,62.41,98.8,1
267.0,0.9279360212320218,8.84,10.67,17.21,0
3869.0,43.70846628322899,0.72,9.99,28.86,0
5946.0,32.188543860601285,27.79,61.3,110.32999999999998,0
4034.0,19.43680388702085,3.46,11.12,13.37,0
1157.0,31.920127751663443,0.0,0.0,26.62,1
81.0,12.910612429743768,10.84,31.92,109.1,1
3998.0,19.83119126203188,3.73,35.15,46.16,0
1330.0,33.16674984665996,0.97,118.95,150.67,1
1991.0,13.974327870776794,42.12,59.38,101.53,1
2062.0,35.27845291832481,18.02,71.02,112.88,0
1314.0,16.309259381852147,0.0,2.87,3.18,1
469.0,26.776488048401934,11.0,87.25999999999999,126.32999999999998,0
1650.0,59.19952289820587,3.8,17.04,39.18,1
1586.0,10.61870205713839,1.15,10.85,19.92,1
629.0,24.688533267095504,47.06,120.65,200.19,1
264.0,1.0725391413104794,8.55,90.12,152.33,0
39.0,3.3622703104586846,10.07,49.330000000000005,78.25,0
2691.0,47.88695496887106,4.66,9.21,49.19,1
1052.0,21.698187913453264,32.32,33.8,38.38,1
133.0,8.81507008632296,9.86,33.480000000000004,79.55,0
6192.0,34.85470243302123,6.11,63.47,78.99,0
923.0,27.089235382634808,15.85,26.84,35.97,0
1145.0,33.52557257129665,0.06,14.39,43.89,1
2081.0,44.96324141446525,1.84,27.86,57.11,0
157.0,6.022085386168779,32.83,61.37,70.14,1
1475.0,28.46229431350733,77.74,114.15,159.40999999999997,1
883.0,14.24689258589194,11.35,12.42,14.34,1
5246.0,33.042775069199415,4.23,47.5,72.31,0
3529.0,18.94556701290291,37.1,38.07,39.25,0
1031.0,22.676378516866617,15.7,26.23,96.52,1
738.0,5.011505087127019,36.48,76.88,125.51,0
182.0,5.635158792453883,24.29,49.8,151.20000000000002,1
319.0,13.539658376283766,15.38,47.88,189.72,0
1078.0,38.06918937058256,0.0,0.0,0.0,1
5202.0,26.298805748357623,9.21,13.46,24.47,0
724.0,10.969657803470264,2.42,2.42,2.75,1
166.0,6.411138059180107,32.61,116.44,218.38,0
1586.0,44.95634585071402,9.91,35.099999999999994,51.34,1
2226.0,35.94706692976556,0.18,13.58,58.16,1
809.0,25.94016421427548,22.99,44.26,150.11,1
54.0,0.9279360212320218,4.99,15.39,90.58,0
341.0,1.0871125641161117,6.75,16.33,20.85,0
2215.0,17.05160603959761,0.0,0.0,2.48,1
1049.0,26.388979644116123,18.97,50.58,110.97,0
3433.0,23.12883468080189,15.94,101.05,107.84,0
