positive_event_index,event_date,background_latitude,background_longitude,nearest_event_distance_km,srtm_elevation_m,srtm_slope_deg,rainfall_24h_mm,rainfall_3day_mm,rainfall_7day_mm,label
0,2009-07-22 00:00:00,26.8826,88.2788,0.0,1548.0,18.257830124319,7.51,17.96,50.82,1
1,2009-07-22 00:00:00,26.8572,88.3143,0.0,1082.0,17.264255579481528,7.51,17.96,50.82,1
2,2009-07-01 05:40:00,27.478,88.527,0.0,748.0,23.10715706639549,17.12,24.76,41.67,1
3,2010-07-29 23:00:00,25.3098633,94.48214677,0.0,1559.0,29.26304389553204,17.06,32.41,58.35,1
4,2011-07-21 00:00:00,29.7334,79.6367,0.0,1579.0,31.05982401684881,8.12,46.77,147.49,1
5,2007-03-19 00:00:00,33.8778,74.3333,0.0,2709.0,29.2204826237158,10.8,12.87,35.31,1
6,2011-06-29 00:00:00,30.7666,78.7963,0.0,3840.0,31.08963542495159,13.13,22.12,92.85,1
7,2011-07-09 00:00:00,30.7652,78.5925,0.0,1411.0,12.030367282308,8.67,16.28,68.05,1
8,2011-07-09 00:00:00,30.7331,79.0685,0.0,3532.0,17.5487502524535,6.04,11.87,60.94,1
9,2011-07-09 00:00:00,31.0188,78.4129,0.0,3295.0,54.48224435300498,7.4,13.85,64.38000000000001,1
10,2011-07-21 00:00:00,30.4043,79.3318,0.0,1069.0,7.8868345734809875,3.31,49.89,109.60000000000002,1
11,2012-09-18 00:00:00,31.0226,77.1029,0.0,1688.0,18.182347827825776,14.44,69.09,128.49,1
12,2012-09-19 00:00:00,27.8385,88.556,0.0,3827.0,18.14433292579047,1.38,6.43,37.52,1
13,2012-09-19 00:00:00,27.6558,88.605,0.0,1935.0,13.781250633045415,5.16,19.03,89.34,1
14,2013-06-16 00:00:00,30.4954,78.3881,0.0,929.0,31.87676704467252,158.4,294.73,390.77,1
15,2013-06-16 00:00:00,30.885,78.6695,0.0,1854.0,26.929049138336847,119.62,239.74,312.27,1
16,2013-06-16 00:00:00,29.7986,80.417,0.0,741.0,32.28120160928111,16.06,20.82,42.92999999999999,1
17,2013-06-25 08:00:00,10.9628,77.5947,0.0,272.0,0.0,1.69,5.47,15.8,1
18,2013-06-25 08:00:00,10.9628,77.5947,0.0,272.0,0.0,1.69,5.47,15.8,1
19,2013-07-17 00:00:00,25.7658,93.9413,0.0,813.0,44.2276920510005,5.65,24.17,83.82000000000001,1
20,2013-07-17 00:00:00,25.7131,94.0885,0.0,1418.0,25.132660081730563,3.66,25.34,116.75,1
21,2015-04-02 00:00:00,34.1587,74.4725,0.0,1650.0,0.926369172997235,4.64,53.71,132.36,1
22,2007-07-28 00:00:00,15.4014,73.8277,0.0,9.0,5.323915212350906,24.46,70.21000000000001,127.04,1
23,2011-06-27 00:00:00,12.6771,75.2565,0.0,101.0,7.771480928143871,36.25,106.02,172.48,1
24,2009-08-17 18:00:00,29.4085,80.1327,0.0,1635.0,17.968376514048142,82.16,187.74,243.87,1
